,Participant_Code,Event_Type,Event,Event1,Correlations,Sections1
0,ADQ003,Speech,Speech,Speech 1,0.0027493336042746716,Speech
1,ADQ004,Speech,Speech,Speech 1,0.03386115946879842,Speech
2,ADQ005,Speech,Speech,Speech 1,0.04535053035271649,Speech
3,ADQ006,Speech,Speech,Speech 1,0.020064059271955717,Speech
4,ADQ007,Speech,Speech,Speech 1,-0.0037518775295464725,Speech
5,ADQ008,Speech,Speech,Speech 1,0.009157663033752194,Speech
6,ADQ009,Speech,Speech,Speech 1,-0.009761258011478913,Speech
7,ADQ010,Speech,Speech,Speech 1,0.03471846141589786,Speech
8,ADQ011,Speech,Speech,Speech 1,0.016197300126874797,Speech
9,ADQ012,Speech,Speech,Speech 1,0.010723650048662456,Speech
10,ADQ013,Speech,Speech,Speech 1,0.020874443702196075,Speech
11,ADQ014,Speech,Speech,Speech 1,0.03066444345197062,Speech
12,ADQ015,Speech,Speech,Speech 1,0.009922638146778129,Speech
13,ADQ016,Speech,Speech,Speech 1,0.016819822561566482,Speech
14,ADQ019,Speech,Speech,Speech 1,0.02610793930822889,Speech
15,ADQ020,Speech,Speech,Speech 1,0.015422173370942328,Speech
16,ADQ021,Speech,Speech,Speech 1,0.008513048599420911,Speech
17,ADQ022,Speech,Speech,Speech 1,0.015739742142174162,Speech
18,ADQ023,Speech,Speech,Speech 1,0.02381537242041721,Speech
19,ADQ024,Speech,Speech,Speech 1,0.007545160899269802,Speech
20,ADQ025,Speech,Speech,Speech 1,0.04658166215040594,Speech
21,ADQ026,Speech,Speech,Speech 1,0.02205020461507978,Speech
22,ADQ027,Speech,Speech,Speech 1,0.01775479506978767,Speech
23,ADQ028,Speech,Speech,Speech 1,0.03273006071219813,Speech
24,ADQ029,Speech,Speech,Speech 1,0.02287611694212413,Speech
25,ADQ030,Speech,Speech,Speech 1,0.0542138206827247,Speech
26,ADQ031,Speech,Speech,Speech 1,0.03869997680183721,Speech
27,ADQ032,Speech,Speech,Speech 1,0.03234280441366716,Speech
28,ADQ033,Speech,Speech,Speech 1,0.046106681309573676,Speech
29,ADQ034,Speech,Speech,Speech 1,0.026642854770268502,Speech
30,ADQ035,Speech,Speech,Speech 1,0.05042819139340617,Speech
31,ADQ036,Speech,Speech,Speech 1,0.03874005543608148,Speech
32,ADQ037,Speech,Speech,Speech 1,0.030369079906331465,Speech
33,ADQ038,Speech,Speech,Speech 1,-0.0025817961363886997,Speech
34,ADQ039,Speech,Speech,Speech 1,-0.02213444493830214,Speech
35,ADQ040,Speech,Speech,Speech 1,0.02505090046421105,Speech
36,ADQ041,Speech,Speech,Speech 1,0.016885578747992406,Speech
37,ADQ042,Speech,Speech,Speech 1,0.019799767876746078,Speech
38,ADQ043,Speech,Speech,Speech 1,0.02629697615721464,Speech
39,ADQ044,Speech,Speech,Speech 1,0.02436783972946674,Speech
40,ADQ045,Speech,Speech,Speech 1,0.03811555966710674,Speech
