,Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,eta-square
0,Event,Claps 14,Claps 5,True,True,2.453953736678684,52.0,two-sided,0.01751558474647544,0.7882013135913949,bonf,2.277,0.018160948952671598
1,Event,Claps 14,Speech 1,True,True,15.192770618398884,52.0,two-sided,9.140869205387666e-21,4.1133911424244495e-19,bonf,5.063e+17,0.6847575572361584
2,Event,Claps 14,Speech 2,True,True,15.75434089480354,52.0,two-sided,1.9271810876258177e-21,8.672314894316179e-20,bonf,2.303e+18,0.7029919085526605
3,Event,Claps 14,Speech 3,True,True,13.946178647528681,52.0,two-sided,3.31291024150483e-19,1.4908096086771736e-17,bonf,1.544e+16,0.6459979559577209
4,Event,Claps 14,Speech 7,True,True,13.238243205651248,52.0,two-sided,2.7723584798292e-18,1.24756131592314e-16,bonf,1.963e+15,0.6002021187990375
5,Event,Claps 14,Survey 1,True,True,15.456512193547125,52.0,two-sided,4.380096317274131e-21,1.971043342773359e-19,bonf,1.036e+18,0.6876858382688719
6,Event,Claps 14,Survey 2,True,True,9.459885995043857,52.0,two-sided,6.823861003332348e-13,3.0707374514995566e-11,bonf,1.204e+10,0.5095614046202989
7,Event,Claps 14,Survey 3,True,True,15.290608853445978,52.0,two-sided,6.951030778664397e-21,3.1279638503989786e-19,bonf,6.609e+17,0.6815886565437814
8,Event,Claps 14,Survey 4,True,True,9.511356373434221,52.0,two-sided,5.69581635541927e-13,2.5631173599386715e-11,bonf,1.432e+10,0.4364043800036789
9,Event,Claps 5,Speech 1,True,True,14.706935315034503,52.0,two-sided,3.621802027599724e-20,1.6298109124198758e-18,bonf,1.327e+17,0.6745581460113849
10,Event,Claps 5,Speech 2,True,True,15.302339666987871,52.0,two-sided,6.7269994614059745e-21,3.0271497576326883e-19,bonf,6.823e+17,0.6961712162943416
11,Event,Claps 5,Speech 3,True,True,13.398364845731802,52.0,two-sided,1.7051431579303595e-18,7.673144210686618e-17,bonf,3.146e+15,0.6285452557807529
12,Event,Claps 5,Speech 7,True,True,11.945844213532624,52.0,two-sided,1.5806019633309682e-16,7.112708834989356e-15,bonf,3.895e+13,0.5736082163304451
13,Event,Claps 5,Survey 1,True,True,15.503705280814065,52.0,two-sided,3.8431374857252976e-21,1.7294118685763838e-19,bonf,1.176e+18,0.6783319754898415
14,Event,Claps 5,Survey 2,True,True,9.403150664386027,52.0,two-sided,8.33053394454175e-13,3.7487402750437875e-11,bonf,9.935e+09,0.4656826067585353
15,Event,Claps 5,Survey 3,True,True,15.25113772752905,52.0,two-sided,7.76200249442239e-21,3.492901122490076e-19,bonf,5.937e+17,0.6712319499614214
16,Event,Claps 5,Survey 4,True,True,8.25541974390257,52.0,two-sided,5.036404875291481e-11,2.2663821938811664e-09,bonf,1.938e+08,0.3835809372118059
17,Event,Speech 1,Speech 2,True,True,2.804698670714819,52.0,two-sided,0.00706643408109154,0.3179895336491193,bonf,4.963,0.05211840296896893
18,Event,Speech 1,Speech 3,True,True,-3.257268975697375,52.0,two-sided,0.0019839685354259163,0.08927858409416624,bonf,15.158,0.0811134331391603
19,Event,Speech 1,Speech 7,True,True,-5.415447435271017,52.0,two-sided,1.5849952754123242e-06,7.132478739355458e-05,bonf,1.052e+04,0.16859573847481946
20,Event,Speech 1,Survey 1,True,True,-0.1362144182278171,52.0,two-sided,0.8921777601542237,1.0,bonf,0.151,0.00016629376549541944
21,Event,Speech 1,Survey 2,True,True,-4.884551122000048,52.0,two-sided,1.0300758686516699e-05,0.0004635341408932514,bonf,1837.206,0.17232878287384268
22,Event,Speech 1,Survey 3,True,True,-1.064682789865066,52.0,two-sided,0.29193846689990494,1.0,bonf,0.256,0.010532286913478631
23,Event,Speech 1,Survey 4,True,True,-3.74610268299575,52.0,two-sided,0.0004512409977583123,0.020305844899124053,bonf,57.217,0.10084455252466135
24,Event,Speech 2,Speech 3,True,True,-5.719727644940119,52.0,two-sided,5.315593157304018e-07,2.3920169207868082e-05,bonf,2.929e+04,0.20202759321115774
25,Event,Speech 2,Speech 7,True,True,-6.456531411912758,52.0,two-sided,3.6358873671203556e-08,1.63614931520416e-06,bonf,3.674e+05,0.2695000222975256
26,Event,Speech 2,Survey 1,True,True,-4.058001623670725,52.0,two-sided,0.00016681958055172303,0.007506881124827536,bonf,141.325,0.1032321725334394
27,Event,Speech 2,Survey 2,True,True,-5.652501146439405,52.0,two-sided,6.77349621196345e-07,3.0480732953835523e-05,bonf,2.333e+04,0.22840764788757076
28,Event,Speech 2,Survey 3,True,True,-5.541409539891042,52.0,two-sided,1.0098113068827695e-06,4.5441508809724626e-05,bonf,1.604e+04,0.17510679250113206
29,Event,Speech 2,Survey 4,True,True,-4.147521839811347,52.0,two-sided,0.00012458226041694564,0.005606201718762554,bonf,184.524,0.13233270876020098
30,Event,Speech 3,Speech 7,True,True,-2.8907146547218665,52.0,two-sided,0.005596500745762575,0.25184253355931585,bonf,6.08,0.03675888987977686
31,Event,Speech 3,Survey 1,True,True,3.5393413620343033,52.0,two-sided,0.000854858872593654,0.03846864926671443,bonf,32.164,0.0908104002388635
32,Event,Speech 3,Survey 2,True,True,-3.2927951867221936,52.0,two-sided,0.0017879392662310657,0.08045726698039796,bonf,16.627,0.07876141039683736
33,Event,Speech 3,Survey 3,True,True,2.8441154724635798,52.0,two-sided,0.006353366497698667,0.28590149239644,bonf,5.444,0.05766778965337168
34,Event,Speech 3,Survey 4,True,True,-2.5269736067997384,52.0,two-sided,0.014585546420391421,0.656349588917614,bonf,2.66,0.047946703277113055
35,Event,Speech 7,Survey 1,True,True,4.9754120625810625,52.0,two-sided,7.50552179771414e-06,0.0003377484808971363,bonf,2465.426,0.17973628602965047
36,Event,Speech 7,Survey 2,True,True,-1.6006679541516735,52.0,two-sided,0.11550906312090403,1.0,bonf,0.494,0.02154983910539465
37,Event,Speech 7,Survey 3,True,True,4.567482529972525,52.0,two-sided,3.0640938270300096e-05,0.0013788422221635043,bonf,669.675,0.1474689405692816
38,Event,Speech 7,Survey 4,True,True,-1.3279247977909627,52.0,two-sided,0.1900026577454322,1.0,bonf,0.342,0.015102304308339195
39,Event,Survey 1,Survey 2,True,True,-5.095443032905638,52.0,two-sided,4.9277194362944744e-06,0.00022174737463325134,bonf,3647.107,0.17579666747649692
40,Event,Survey 1,Survey 3,True,True,-1.7525568788821964,52.0,two-sided,0.08557264838389389,1.0,bonf,0.622,0.012799736339880557
41,Event,Survey 1,Survey 4,True,True,-3.5265044602282445,52.0,two-sided,0.0008889299453329618,0.04000184753998328,bonf,31.055,0.10110822074386783
42,Event,Survey 2,Survey 3,True,True,4.6739339100760064,52.0,two-sided,2.13070637053634e-05,0.000958817866741353,bonf,936.807,0.15590947038995687
43,Event,Survey 2,Survey 4,True,True,-0.11914266135505748,52.0,two-sided,0.9056214278726106,1.0,bonf,0.151,0.00014947475378965792
44,Event,Survey 3,Survey 4,True,True,-3.2602390642978296,52.0,two-sided,0.001966832467438108,0.08850746103471487,bonf,15.275,0.08943550754836402
