,Participant_Code,Event_Type,Event,Event1,Correlations,Sections1
0,ADQ003,Speech,Speech,Speech 1,0.0028651485807928896,Speech
1,ADQ004,Speech,Speech,Speech 1,0.03405183764916145,Speech
2,ADQ005,Speech,Speech,Speech 1,0.04565507057773303,Speech
3,ADQ006,Speech,Speech,Speech 1,0.02016701171537952,Speech
4,ADQ007,Speech,Speech,Speech 1,-0.003758047199506673,Speech
5,ADQ008,Speech,Speech,Speech 1,0.009253418111412224,Speech
6,ADQ009,Speech,Speech,Speech 1,-0.009806514007898918,Speech
7,ADQ010,Speech,Speech,Speech 1,0.03490982920321355,Speech
8,ADQ011,Speech,Speech,Speech 1,0.01627425027759023,Speech
9,ADQ012,Speech,Speech,Speech 1,0.010746249930854232,Speech
10,ADQ013,Speech,Speech,Speech 1,0.021043367496010934,Speech
11,ADQ014,Speech,Speech,Speech 1,0.030973254650606078,Speech
12,ADQ015,Speech,Speech,Speech 1,0.010037618960407621,Speech
13,ADQ016,Speech,Speech,Speech 1,0.016891623877386488,Speech
14,ADQ019,Speech,Speech,Speech 1,0.026207999678521356,Speech
15,ADQ020,Speech,Speech,Speech 1,0.015587346062506193,Speech
16,ADQ021,Speech,Speech,Speech 1,0.008580646000544909,Speech
17,ADQ022,Speech,Speech,Speech 1,0.015919911753089638,Speech
18,ADQ023,Speech,Speech,Speech 1,0.023937909019405998,Speech
19,ADQ024,Speech,Speech,Speech 1,0.007596247862455965,Speech
20,ADQ025,Speech,Speech,Speech 1,0.04696095058900314,Speech
21,ADQ026,Speech,Speech,Speech 1,0.022176842320398134,Speech
22,ADQ027,Speech,Speech,Speech 1,0.017805610774328625,Speech
23,ADQ028,Speech,Speech,Speech 1,0.03307706819750855,Speech
24,ADQ029,Speech,Speech,Speech 1,0.022969453408435217,Speech
25,ADQ030,Speech,Speech,Speech 1,0.05506247644554045,Speech
26,ADQ031,Speech,Speech,Speech 1,0.038860482508297337,Speech
27,ADQ032,Speech,Speech,Speech 1,0.03261460316785535,Speech
28,ADQ033,Speech,Speech,Speech 1,0.04648460136162198,Speech
29,ADQ034,Speech,Speech,Speech 1,0.026827958637767768,Speech
30,ADQ035,Speech,Speech,Speech 1,0.05101099771661006,Speech
31,ADQ036,Speech,Speech,Speech 1,0.039247798821855646,Speech
32,ADQ037,Speech,Speech,Speech 1,0.03052044953721638,Speech
33,ADQ038,Speech,Speech,Speech 1,-0.002596168325405344,Speech
34,ADQ039,Speech,Speech,Speech 1,-0.02228365382324779,Speech
35,ADQ040,Speech,Speech,Speech 1,0.025189752602971852,Speech
36,ADQ041,Speech,Speech,Speech 1,0.016948244861592722,Speech
37,ADQ042,Speech,Speech,Speech 1,0.019888639887362076,Speech
38,ADQ043,Speech,Speech,Speech 1,0.02640476896886415,Speech
39,ADQ044,Speech,Speech,Speech 1,0.025010442424755572,Speech
40,ADQ045,Speech,Speech,Speech 1,0.038502054993381565,Speech
41,ADQ046,Speech,Speech,Speech 1,0.007410580983865843,Speech
42,ADQ047,Speech,Speech,Speech 1,0.023576377788200986,Speech
43,ADQ048,Speech,Speech,Speech 1,0.008138719482715506,Speech
44,ADQ049,Speech,Speech,Speech 1,0.029723803912746267,Speech
45,ADQ050,Speech,Speech,Speech 1,-0.03568054610134224,Speech
46,ADQ051,Speech,Speech,Speech 1,0.014845652869749,Speech
47,ADQ052,Speech,Speech,Speech 1,0.04484436224043146,Speech
48,ADQ053,Speech,Speech,Speech 1,0.015409937410968966,Speech
49,ADQ054,Speech,Speech,Speech 1,0.042128664774533336,Speech
50,ADQ055,Speech,Speech,Speech 1,0.04087167475698283,Speech
51,ADQ056,Speech,Speech,Speech 1,-0.000927878127827052,Speech
52,ADQ057,Speech,Speech,Speech 1,0.01916552230507836,Speech
53,ADQ059,Speech,Speech,Speech 1,-0.01527075124207199,Speech
54,ADQ060,Speech,Speech,Speech 1,-0.01488006591088412,Speech
55,ADQ061,Speech,Speech,Speech 1,0.01171319767550598,Speech
56,ADQ062,Speech,Speech,Speech 1,-0.017135907512647583,Speech
57,ADQ063,Speech,Speech,Speech 1,0.01933303514542237,Speech
58,ADQ064,Speech,Speech,Speech 1,0.019253646749766515,Speech
59,ADQ065,Speech,Speech,Speech 1,0.030645117557220675,Speech
60,ADQ066,Speech,Speech,Speech 1,-0.0029333995353504312,Speech
61,ADR067,Speech,Speech,Speech 1,0.006147041771906578,Speech
62,ADR068,Speech,Speech,Speech 1,0.01772796229363994,Speech
63,ADR069,Speech,Speech,Speech 1,0.05824096364731041,Speech
64,ADR070,Speech,Speech,Speech 1,0.012606995544156384,Speech
65,ADR071,Speech,Speech,Speech 1,0.05414789374343682,Speech
66,AEQ077,Speech,Speech,Speech 1,-0.004617232558052381,Speech
67,AEQ079,Speech,Speech,Speech 1,0.0006208235515654134,Speech
68,AEQ080,Speech,Speech,Speech 1,0.030977009423673055,Speech
69,AEQ081,Speech,Speech,Speech 1,0.021305471148486955,Speech
70,AEQ082,Speech,Speech,Speech 1,0.042139355400204796,Speech
71,AEQ083,Speech,Speech,Speech 1,0.030059037483111905,Speech
72,AEQ084,Speech,Speech,Speech 1,0.008490795381739477,Speech
73,AEQ085,Speech,Speech,Speech 1,0.035011316168039736,Speech
74,AEQ087,Speech,Speech,Speech 1,0.01715293145444904,Speech
75,AEQ088,Speech,Speech,Speech 1,-0.0023704626274334557,Speech
76,AEQ089,Speech,Speech,Speech 1,0.010763688259462036,Speech
77,AER090,Speech,Speech,Speech 1,-0.005816257153238427,Speech
78,ADQ001,Speech,Speech,Speech 1,-0.008818172018805765,Speech
79,ADQ003,Speech,Speech MC1,Speech 2,0.014949368297046801,Speech
80,ADQ004,Speech,Speech MC1,Speech 2,0.015426567656948451,Speech
81,ADQ005,Speech,Speech MC1,Speech 2,0.008794164957272933,Speech
82,ADQ006,Speech,Speech MC1,Speech 2,0.010108621217996945,Speech
83,ADQ007,Speech,Speech MC1,Speech 2,0.012072147246091366,Speech
84,ADQ008,Speech,Speech MC1,Speech 2,0.0005381969068928364,Speech
85,ADQ009,Speech,Speech MC1,Speech 2,-0.00047968283083205994,Speech
86,ADQ010,Speech,Speech MC1,Speech 2,0.01446317932626061,Speech
87,ADQ011,Speech,Speech MC1,Speech 2,0.0056890055136428475,Speech
88,ADQ012,Speech,Speech MC1,Speech 2,0.007822770405637294,Speech
89,ADQ013,Speech,Speech MC1,Speech 2,0.02083781645549465,Speech
90,ADQ014,Speech,Speech MC1,Speech 2,0.00832378113247446,Speech
91,ADQ015,Speech,Speech MC1,Speech 2,0.01677197242063373,Speech
92,ADQ016,Speech,Speech MC1,Speech 2,0.009550293152972582,Speech
93,ADQ019,Speech,Speech MC1,Speech 2,-0.0006430782954189725,Speech
94,ADQ021,Speech,Speech MC1,Speech 2,0.0062228992501569816,Speech
95,ADQ022,Speech,Speech MC1,Speech 2,0.004825072935908502,Speech
96,ADQ023,Speech,Speech MC1,Speech 2,-0.011184247737115438,Speech
97,ADQ024,Speech,Speech MC1,Speech 2,0.007580546069469323,Speech
98,ADQ025,Speech,Speech MC1,Speech 2,0.023150575498966104,Speech
99,ADQ026,Speech,Speech MC1,Speech 2,0.0037986507094115475,Speech
100,ADQ027,Speech,Speech MC1,Speech 2,0.013956243952765176,Speech
101,ADQ028,Speech,Speech MC1,Speech 2,0.011609131489844384,Speech
102,ADQ029,Speech,Speech MC1,Speech 2,0.010230619198723343,Speech
103,ADQ030,Speech,Speech MC1,Speech 2,0.016478652093168893,Speech
104,ADQ031,Speech,Speech MC1,Speech 2,0.007773528508293892,Speech
105,ADQ032,Speech,Speech MC1,Speech 2,0.015567524046282713,Speech
106,ADQ033,Speech,Speech MC1,Speech 2,0.006246339774281304,Speech
107,ADQ034,Speech,Speech MC1,Speech 2,0.008293644006184302,Speech
108,ADQ035,Speech,Speech MC1,Speech 2,-0.0018053352872324084,Speech
109,ADQ036,Speech,Speech MC1,Speech 2,0.007048654182651373,Speech
110,ADQ037,Speech,Speech MC1,Speech 2,0.0032202607523567446,Speech
111,ADQ038,Speech,Speech MC1,Speech 2,-0.004813864209322715,Speech
112,ADQ040,Speech,Speech MC1,Speech 2,0.008549172257339267,Speech
113,ADQ041,Speech,Speech MC1,Speech 2,0.009365864911613066,Speech
114,ADQ042,Speech,Speech MC1,Speech 2,-0.0032255521920677324,Speech
115,ADQ043,Speech,Speech MC1,Speech 2,0.012992478894560207,Speech
116,ADQ044,Speech,Speech MC1,Speech 2,0.01573507191189713,Speech
117,ADQ045,Speech,Speech MC1,Speech 2,0.012494736614552334,Speech
118,ADQ046,Speech,Speech MC1,Speech 2,0.0012911070610146418,Speech
119,ADQ047,Speech,Speech MC1,Speech 2,0.003467754721104439,Speech
120,ADQ048,Speech,Speech MC1,Speech 2,-0.006206670553119674,Speech
