,index,Pair,Spearman,Event_Type,Event,Event1,FishersZ,Sections,Relationship,Familiarity,Distance,Close
9,ADQ011,ADQ001,-0.07504403206131552,Speech,Speech,Speech 1,-0.07518538281450335,Speech,Stranger,0,4.0,0
11,ADQ013,ADQ001,-0.07190221698011923,Speech,Speech,Speech 1,-0.07202651254901862,Speech,Stranger,0,4.0,0
16,ADQ020,ADQ001,-0.03757278818039843,Speech,Speech,Speech 1,-0.0375904838537474,Speech,Stranger,0,4.0,0
18,ADQ022,ADQ001,0.08374840539037462,Speech,Speech,Speech 1,0.08394503157383994,Speech,Stranger,0,4.0,0
44,ADQ048,ADQ001,-0.1594443150547527,Speech,Speech,Speech 1,-0.16081646387951343,Speech,Stranger,0,4.0,0
52,ADQ056,ADQ001,0.014475443924254056,Speech,Speech,Speech 1,0.014476455105542917,Speech,Stranger,0,4.0,0
54,ADQ059,ADQ001,0.03761908479502565,Speech,Speech,Speech 1,0.03763684599916324,Speech,Stranger,0,4.0,0
56,ADQ061,ADQ001,-0.05270238929733641,Speech,Speech,Speech 1,-0.05275126513978649,Speech,Stranger,0,4.0,0
60,ADQ065,ADQ001,0.14052850786290685,Speech,Speech,Speech 1,0.14146469051743477,Speech,Stranger,0,4.0,0
65,ADR070,ADQ001,0.02312065693250031,Speech,Speech,Speech 1,0.023124778084000208,Speech,Stranger,0,4.0,0
73,AEQ084,ADQ001,0.01678831099707287,Speech,Speech,Speech 1,0.01678988851104309,Speech,Stranger,0,4.0,0
75,AEQ087,ADQ001,-0.014800373792969857,Speech,Speech,Speech 1,-0.014801454614237456,Speech,Stranger,0,4.0,0
159,ADQ003,ADQ004,-0.0644515489363252,Speech,Speech,Speech 1,-0.0645410159880467,Speech,Stranger,0,2.0,1
169,ADQ013,ADQ004,0.12223307601098449,Speech,Speech,Speech 1,0.1228473505863386,Speech,Stranger,0,4.0,0
176,ADQ022,ADQ004,0.1423658381854423,Speech,Speech,Speech 1,0.14333953193022891,Speech,Stranger,0,4.0,0
179,ADQ025,ADQ004,0.11446492052663439,Speech,Speech,Speech 1,0.11496880246262951,Speech,Stranger,0,4.0,0
182,ADQ028,ADQ004,0.04786499987174071,Speech,Speech,Speech 1,0.047901604035979706,Speech,Stranger,0,4.0,0
242,ADQ007,ADQ005,-0.09166661602277863,Speech,Speech,Speech 1,-0.09192466941296068,Speech,Stranger,0,4.0,0
249,ADQ014,ADQ005,0.1540265499882926,Speech,Speech,Speech 1,0.15526223878838538,Speech,Stranger,0,4.0,0
255,ADQ022,ADQ005,-0.15252371611261767,Speech,Speech,Speech 1,-0.153723248690817,Speech,Stranger,0,4.0,0
262,ADQ029,ADQ005,0.03271814456694616,Speech,Speech,Speech 1,0.03272982674473774,Speech,Stranger,0,4.0,0
273,ADQ040,ADQ005,0.21275450829115164,Speech,Speech,Speech 1,0.21605468559880578,Speech,Stranger,0,4.0,0
277,ADQ044,ADQ005,0.04146836550023355,Speech,Speech,Speech 1,0.04149216007304921,Speech,Stranger,0,4.0,0
297,ADQ065,ADQ005,0.003617068484143699,Speech,Speech,Speech 1,0.003617084258525538,Speech,Stranger,0,4.0,0
316,ADQ001,ADQ006,0.09048706384804378,Speech,Speech,Speech 1,0.09073525087994819,Speech,Stranger,0,3.0,1
328,ADQ014,ADQ006,-0.09089617125340836,Speech,Speech,Speech 1,-0.09114775109292493,Speech,Stranger,0,4.0,0
329,ADQ015,ADQ006,-0.12499273011651574,Speech,Speech,Speech 1,-0.12564982886881046,Speech,Stranger,0,4.0,0
339,ADQ027,ADQ006,0.09599397352261962,Speech,Speech,Speech 1,0.09629047102742998,Speech,Stranger,0,4.0,0
346,ADQ034,ADQ006,0.12490358095587292,Speech,Speech,Speech 1,0.12555926583424334,Speech,Stranger,0,4.0,0
475,ADQ003,ADQ008,-0.02210039397158758,Speech,Speech,Speech 1,-0.02210399317250527,Speech,Stranger,0,4.0,0
478,ADQ006,ADQ008,0.07603853083065253,Speech,Speech,Speech 1,0.07618558933185958,Speech,Stranger,0,4.0,0
485,ADQ013,ADQ008,-0.018527732775553727,Speech,Speech,Speech 1,-0.018529853259763477,Speech,Stranger,0,4.0,0
488,ADQ016,ADQ008,-0.09501671480712617,Speech,Speech,Speech 1,-0.09530421633445717,Speech,Stranger,0,4.0,0
503,ADQ033,ADQ008,-0.04832685587932431,Speech,Speech,Speech 1,-0.048364530902758274,Speech,Stranger,0,4.0,0
504,ADQ034,ADQ008,-0.04662826328110153,Speech,Speech,Speech 1,-0.046662100411168264,Speech,Stranger,0,4.0,0
513,ADQ043,ADQ008,-0.09106718640588171,Speech,Speech,Speech 1,-0.09132019366785177,Speech,Stranger,0,4.0,0
514,ADQ044,ADQ008,0.1208047779622524,Speech,Speech,Speech 1,0.12139764468737926,Speech,Stranger,0,4.0,0
519,ADQ049,ADQ008,0.05668433160917264,Speech,Speech,Speech 1,0.0567451599841536,Speech,Stranger,0,4.0,0
520,ADQ050,ADQ008,0.0007863080894743589,Speech,Speech,Speech 1,0.0007863082515273821,Speech,Stranger,0,4.0,0
523,ADQ053,ADQ008,0.0236790370803233,Speech,Speech,Speech 1,0.023683464156516627,Speech,Stranger,0,4.0,0
524,ADQ054,ADQ008,0.07068935924432652,Speech,Speech,Speech 1,0.07080745809797252,Speech,Stranger,0,4.0,0
526,ADQ056,ADQ008,0.03821787345838919,Speech,Speech,Speech 1,0.03823649686519383,Speech,Stranger,0,4.0,0
