,index,Pair,Spearman,Event_Type,Event,Event1,Sections,Relationship,Familiarity,Distance,Close
9,ADQ011,ADQ001,-0.07504403206131552,Speech,Speech,Speech 1,Speech,Stranger,0,4.0,0
11,ADQ013,ADQ001,-0.07190221698011923,Speech,Speech,Speech 1,Speech,Stranger,0,4.0,0
16,ADQ020,ADQ001,-0.037554229818916096,Speech,Speech,Speech 1,Speech,Stranger,0,4.0,0
18,ADQ022,ADQ001,0.08376554725758287,Speech,Speech,Speech 1,Speech,Stranger,0,4.0,0
44,ADQ048,ADQ001,-0.15970625394085575,Speech,Speech,Speech 1,Speech,Stranger,0,4.0,0
52,ADQ056,ADQ001,0.014475443924254056,Speech,Speech,Speech 1,Speech,Stranger,0,4.0,0
54,ADQ059,ADQ001,0.03761908479502565,Speech,Speech,Speech 1,Speech,Stranger,0,4.0,0
56,ADQ061,ADQ001,-0.05269771810744928,Speech,Speech,Speech 1,Speech,Stranger,0,4.0,0
60,ADQ065,ADQ001,0.14052746829020848,Speech,Speech,Speech 1,Speech,Stranger,0,4.0,0
65,ADR070,ADQ001,0.02312065693250031,Speech,Speech,Speech 1,Speech,Stranger,0,4.0,0
73,AEQ084,ADQ001,0.01678831099707287,Speech,Speech,Speech 1,Speech,Stranger,0,4.0,0
75,AEQ087,ADQ001,-0.014800373792969857,Speech,Speech,Speech 1,Speech,Stranger,0,4.0,0
159,ADQ003,ADQ004,-0.06470037928847845,Speech,Speech,Speech 1,Speech,Stranger,0,2.0,1
169,ADQ013,ADQ004,0.12220588523032443,Speech,Speech,Speech 1,Speech,Stranger,0,4.0,0
176,ADQ022,ADQ004,0.14226800089229355,Speech,Speech,Speech 1,Speech,Stranger,0,4.0,0
179,ADQ025,ADQ004,0.11446996785706799,Speech,Speech,Speech 1,Speech,Stranger,0,4.0,0
182,ADQ028,ADQ004,0.047857819596919836,Speech,Speech,Speech 1,Speech,Stranger,0,4.0,0
242,ADQ007,ADQ005,-0.09166637346785758,Speech,Speech,Speech 1,Speech,Stranger,0,4.0,0
249,ADQ014,ADQ005,0.15402486921506586,Speech,Speech,Speech 1,Speech,Stranger,0,4.0,0
255,ADQ022,ADQ005,-0.15273089306375265,Speech,Speech,Speech 1,Speech,Stranger,0,4.0,0
262,ADQ029,ADQ005,0.03267602455624363,Speech,Speech,Speech 1,Speech,Stranger,0,4.0,0
273,ADQ040,ADQ005,0.21275198642337456,Speech,Speech,Speech 1,Speech,Stranger,0,4.0,0
277,ADQ044,ADQ005,0.04146463187223071,Speech,Speech,Speech 1,Speech,Stranger,0,4.0,0
297,ADQ065,ADQ005,0.0036200498386879517,Speech,Speech,Speech 1,Speech,Stranger,0,4.0,0
316,ADQ001,ADQ006,0.09046200970458233,Speech,Speech,Speech 1,Speech,Stranger,0,3.0,1
328,ADQ014,ADQ006,-0.09071260413123992,Speech,Speech,Speech 1,Speech,Stranger,0,4.0,0
329,ADQ015,ADQ006,-0.12534603411393053,Speech,Speech,Speech 1,Speech,Stranger,0,4.0,0
339,ADQ027,ADQ006,0.09598158618119348,Speech,Speech,Speech 1,Speech,Stranger,0,4.0,0
346,ADQ034,ADQ006,0.12464912614059542,Speech,Speech,Speech 1,Speech,Stranger,0,4.0,0
475,ADQ003,ADQ008,-0.022013542111562555,Speech,Speech,Speech 1,Speech,Stranger,0,4.0,0
478,ADQ006,ADQ008,0.07654259816707132,Speech,Speech,Speech 1,Speech,Stranger,0,4.0,0
485,ADQ013,ADQ008,-0.018527732775553727,Speech,Speech,Speech 1,Speech,Stranger,0,4.0,0
488,ADQ016,ADQ008,-0.09501671480712617,Speech,Speech,Speech 1,Speech,Stranger,0,4.0,0
503,ADQ033,ADQ008,-0.04832766769156006,Speech,Speech,Speech 1,Speech,Stranger,0,4.0,0
504,ADQ034,ADQ008,-0.04662826328110153,Speech,Speech,Speech 1,Speech,Stranger,0,4.0,0
513,ADQ043,ADQ008,-0.09106718640588171,Speech,Speech,Speech 1,Speech,Stranger,0,4.0,0
514,ADQ044,ADQ008,0.12082305408776985,Speech,Speech,Speech 1,Speech,Stranger,0,4.0,0
519,ADQ049,ADQ008,0.05668433160917264,Speech,Speech,Speech 1,Speech,Stranger,0,4.0,0
520,ADQ050,ADQ008,0.0007863080894743589,Speech,Speech,Speech 1,Speech,Stranger,0,4.0,0
523,ADQ053,ADQ008,0.0236790370803233,Speech,Speech,Speech 1,Speech,Stranger,0,4.0,0
524,ADQ054,ADQ008,0.07068390145646057,Speech,Speech,Speech 1,Speech,Stranger,0,4.0,0
526,ADQ056,ADQ008,0.03821787345838919,Speech,Speech,Speech 1,Speech,Stranger,0,4.0,0
533,ADQ064,ADQ008,-0.02787255630546126,Speech,Speech,Speech 1,Speech,Stranger,0,4.0,0
558,ADQ007,ADQ009,0.04258532146732288,Speech,Speech,Speech 1,Speech,Stranger,0,3.0,1
561,ADQ010,ADQ009,0.004947575812190815,Speech,Speech,Speech 1,Speech,Stranger,0,4.0,0
592,ADQ043,ADQ009,-0.03286105109201649,Speech,Speech,Speech 1,Speech,Stranger,0,4.0,0
605,ADQ056,ADQ009,0.05297247761866536,Speech,Speech,Speech 1,Speech,Stranger,0,4.0,0
620,AEQ077,ADQ009,0.09613800599324676,Speech,Speech,Speech 1,Speech,Stranger,0,4.0,0
633,ADQ003,ADQ010,0.0696511995477905,Speech,Speech,Speech 1,Speech,Family_ParentChild,1,1.0,1
634,ADQ004,ADQ010,0.06678989117300244,Speech,Speech,Speech 1,Speech,Stranger,0,3.0,1
716,ADQ007,ADQ011,-0.010602209990499377,Speech,Speech,Speech 1,Speech,Stranger,0,-2.0,1
797,ADQ009,ADQ012,0.07486992436804997,Speech,Speech,Speech 1,Speech,Stranger,0,3.0,1
816,ADQ030,ADQ012,-0.05081098987957405,Speech,Speech,Speech 1,Speech,Stranger,0,4.0,0
819,ADQ033,ADQ012,0.08308727042533126,Speech,Speech,Speech 1,Speech,Stranger,0,4.0,0
856,ADR071,ADQ012,-0.018373633934540695,Speech,Speech,Speech 1,Speech,Stranger,0,4.0,0
874,ADQ007,ADQ013,0.029774015991658753,Speech,Speech,Speech 1,Speech,Stranger,0,3.0,1
878,ADQ011,ADQ013,0.0719034383230334,Speech,Speech,Speech 1,Speech,Stranger,0,-2.0,1
959,ADQ013,ADQ014,-0.015144798575009609,Speech,Speech,Speech 1,Speech,Stranger,0,3.0,1
1032,ADQ007,ADQ015,0.04905170575480537,Speech,Speech,Speech 1,Speech,Stranger,0,-2.0,1
1036,ADQ011,ADQ015,-0.04056146891302684,Speech,Speech,Speech 1,Speech,Stranger,0,1.0,1
1038,ADQ013,ADQ015,0.1462717600993037,Speech,Speech,Speech 1,Speech,Stranger,0,2.0,1
1107,ADQ003,ADQ016,0.00330508254580265,Speech,Speech,Speech 1,Speech,Stranger,0,3.0,1
